category,algorithm_name,file_path,symbol,purpose,inputs,outputs,algorithm_type,thresholds,complexity,active_status,test_coverage,known_risks,recommended_action
A,PDF validation,backend/services/document_registry.py,validate_pdf,Reject non-PDF or unreadable uploads,file bytes,bool/raise,deterministic,none,O(1),active,integration (test_documents_api.py),none significant,keep
A,Defensive page iteration,backend/services/pdf_pages.py,iter_pdf_pages,Skip unreadable pages without aborting document,fitz.Document,pages + skipped list,deterministic,none,O(pages),active,none direct,silent per-page data loss not surfaced to user,add skipped-page count to API response
A,Text/word neighbor indexing,backend/services/pdf_parser.py,_attach_neighbors / _attach_word_neighbors,k-NN neighbors for text objects,word/line list,neighbor lists on objects,deterministic heuristic,cell=120.0 k=5,O(n),active,none direct,duplicated grid pattern vs geometry_extractor,consolidate into shared spatial-index utility
A,CAD adapter stub,backend/services/engineering/geometry_adapters.py,DeferredCadAdapter,Placeholder for DWG/DXF/3DM ingestion,file path,raises NotImplementedError,deterministic,n/a,O(1),unreachable (no upload path accepts non-PDF),none,dead-in-practice but honest placeholder,keep as documented capability gap or remove if CAD never planned
B,Conservative label normalization,backend/services/normalization.py,normalize_label_text,Formatting-only text canonicalization for UI match-status,raw text,normalized text,deterministic,none,O(len),active,test_normalization.py,duplicated concept across 5-7 normalizers repo-wide,centralize canonical-form module
B,Section-text normalization,backend/services/exact_section_predictor.py,normalize_section_text,Canonicalize text for TF-IDF retrieval target space,raw text,normalized text,deterministic,strips - and _,O(len),active,test_exact_section_predictor.py,silently strips mixed-number dashes (386 catalog rows affected; no current collisions),add explicit test for dash-bearing labels
B,Catalog label index normalization,backend/services/database_loader.py,module-level (_NORMALIZED_LABELS),Build exact-lookup dict for AISC catalog,catalog dataframe,dict label->shape,deterministic,spaces only stripped,O(rows) once,active,indirect via wildcard/ranking tests,yet another distinct normalization rule,centralize
B,Wildcard family split,backend/services/wildcard_matcher.py,_split_family,Separate family prefix from size/wildcard remainder,cleaned text,(family remainder),deterministic,longest-prefix-first over 13 families,O(families),active,test_wildcard_matcher.py,wildcards inside family prefix unsupported,document limitation
B,Wildcard positional mask match,backend/services/wildcard_matcher.py,match_wildcard_mask,Match */? masked labels against catalog,text,candidate list,deterministic,fixed-length mask; limit=8,O(catalog rows) linear scan,active,test_wildcard_matcher.py,no index; empty-mask-match has no fallback to fuzzy retrieval,add index; add fallback branch
B,Exact-section TF-IDF retrieval,backend/services/exact_section_predictor.py,predict_exact_sections / _candidate_scores,Char-ngram cosine retrieval of exact section labels,normalized text,ranked candidates,statistical (fit vectorizer),pool_size=80 limit=5/8,O(catalog) per query (lru_cached),active,test_exact_section_predictor.py,not a classifier - a retrieval index; confidence is raw cosine not probability,label clearly as similarity score
B,Rerank of retrieval candidates,backend/services/exact_section_predictor.py,_score_candidates,Blend text/geometry/graph/rule evidence into final candidate score,candidate + evidence dict,confidence score,heuristic weighted sum,"0.68 text 0.05 rule +0.18 geom +0.09 graph, orientation nudges +-0.15/0.10/0.08",O(candidates),active,test_exact_section_predictor.py,3rd independent reimplementation of weighted-blend pattern,unify with ranking.py
B,Fuzzy catalog verification,backend/services/database_loader.py,search_similar_shapes,Verification-only similarity search against full catalog,text,candidate list,heuristic (difflib),minimum_score=0.45 (0.35 at call site) limit=5,O(catalog rows),active,indirect,never overrides prediction by design (documented),keep as-is; ensure UI never implies it drives the label
B,OCR/correction suggestion engine,backend/services/multimodal/correction_engine.py,correct / suggest_token_corrections,Suggest corrected label from 6-signal blend,token + context,ranked corrections,heuristic weighted sum,CORRECTION_WEIGHTS text .38 sim .22 geom .15 graph .12 ctx .08 history .05,O(candidates),active,test_multimodal_correction_engine.py,4th independent weighted-blend reimplementation,unify
B,Family classifier,backend/services/model_predictor.py,predict_with_confidence,Predict steel shape family from token text,normalized token,family label + probability,ML (RF/SVM/XGBoost/LightGBM best-of),auto_accept_probability_threshold=0.70,O(1) inference (lru_cached),active,test_feature_pipeline.py,only genuine calibrated-shaped probability in the pipeline (still uncalibrated post-hoc),keep; consider isotonic calibration once data available
B,Dynamic regex learning engine,backend/services/regex_learning_engine.py,learn_regex / segment_token / token_signature,Deterministic pattern induction from example tokens,token examples,regex pattern,deterministic (trie-based induction),none,O(n log n),active,indirect via self_learning tests,name implies ML but is pure algorithmic induction - mislabeling risk,rename/document clearly as rule-induction not ML
B,Regex confidence scoring,backend/services/regex_learning_engine.py;backend/services/regex_validator.py,_variant_confidence / validate_regex,Score a learned regex's trustworthiness,pattern + stats,confidence float,heuristic linear formula,weights 0.45/0.35/0.20 and 0.50/0.20/0.20/0.10 capped at 0.97,O(1),active,indirect,hand-tuned not fit from data - never call this a probability,document as heuristic score
B,Self-learning state machine,backend/services/self_learning_engine.py,process_token,Decide reuse/learn-new/extend/reinforce/unresolved,token,LearningOutcome,deterministic,none,O(1)-O(classes),active,indirect,none significant,keep
B,Legacy TF-IDF fallback,backend/services/model_predictor.py,reload_model,Fallback to pre-v2 artifact if pipeline pkl missing,artifact files,loaded model state,deterministic,auto-detected by file presence,O(1),legacy fallback path,none direct,cannot confirm from code whether ever exercised in production,verify deployment artifact state
C,Geometry classification,backend/services/engineering/geometry_extractor.py,_classify_path,Classify PyMuPDF path into GeometryKind,drawing items + rect,GeometryKind enum,deterministic heuristic,circle ratio 1.15; equality tol max(2.0 0.08*max),O(items),active,shallow (test_engineering_pipeline.py),no structural (beam/grid/hatch) distinction; magic numbers undocumented,see 03_geometry_audit.md
C,Leader/dimension reclassification,backend/services/engineering/geometry_extractor.py,_looks_like_leader / _looks_like_dimension,Reclassify short strokes as leader or dimension lines,geometry object + nearby text,possibly-overwritten kind,deterministic heuristic,length 8-180pt bbox<40pt; dimension >=12pt,O(1) per object,active,untested directly,order-dependency: leader checked before dimension,add unit tests; consider reordering or dual-candidate scoring
