current_path,file_type,subsystem,functional_purpose,classification,usage_status,usage_evidence,primary_entrypoint_or_consumer,important_inbound_references,important_outbound_dependencies,related_tests,approx_loc,duplication_overlap_notes,risk_if_changed,confidence_level,proposed_action,proposed_destination,explanatory_notes
.claude/agents/integration-auditor.md,Markdown (subagent definition),Claude Code tooling - subagents,Defines read-only 'integration-auditor' subagent for auditing partner-branch / cherry-pick / cross-worktree integration risk,developer tooling,used by developer tooling,Loaded by Claude Code Agent tool when subagent_type=integration-auditor is invoked; tool allowlist restricted to Read/Grep/Glob/Bash (read-only),Claude Code Agent tool (subagent_type: integration-auditor),Conceptually paired with .claude/skills/git-integrate (CLAUDE.md 'Repository safety' section references git-integrate for cross-worktree work),none (prompt-only),none,44,"Functional overlap with git-integrate skill (both cover partner-branch integration risk) but different mechanism: this is a reusable read-only subagent, git-integrate is a guided, explicitly-invoked workflow skill. No content duplication.","low - affects only subagent audit behavior, never touches production code (enforced by its own tool allowlist)",high,keep in place,(unchanged),"Explicitly forbids commit/reset/cherry-pick/merge/rebase/push/stash/branch-delete; matches repo's multi-worktree, partner-branch workflow described in CLAUDE.md."
.claude/agents/ml-auditor.md,Markdown (subagent definition),Claude Code tooling - subagents,"Defines read-only 'ml-auditor' subagent for vetting ML experiments: leakage, split correctness, candidate-recall ceiling, train/serve parity, baseline comparability",developer tooling,used by developer tooling,Directly referenced by CLAUDE.md ('Use the ml-audit skill / ml-auditor agent before trusting an experiment') and .claude/rules/ml.md,Claude Code Agent tool (subagent_type: ml-auditor),CLAUDE.md 'ML work' section; .claude/rules/ml.md (references ml-audit skill),none (prompt-only),none,36,"Pairs with .claude/skills/ml-audit/SKILL.md - agent is the reusable auditor persona, skill is the checklist/workflow it follows. Content is consistent (same priority list), not duplicated verbatim.","low - read-only, no write tools",high,keep in place,(unchanged),"Tool allowlist Read/Grep/Glob/Bash only; output format is a structured Finding/Severity/Evidence/Impact table, matching ml-audit skill's checklist order."
.claude/hooks/git_destructive_guard.py,Python (PreToolUse hook),Claude Code tooling - hooks,"Blocks destructive git Bash commands (force-push, reset --hard, clean -f, branch -D, checkout -f, any rebase) unless the literal token [confirmed-destructive] is present",developer tooling,used by developer tooling,"Wired in .claude/settings.json PreToolUse, matcher 'Bash', invoked every Bash tool call",.claude/settings.json (PreToolUse > Bash hooks list),.claude/settings.json wires it; CLAUDE.md 'Repository safety' + 'Git Safety Protocol' describe this exact behavior,none (stdlib json/re/sys only),none - no dedicated test file found in repo,54,"None. Distinct responsibility from precommit_guard.py (which only fires on git commit) and protect_paths.py (file-write guard, not Bash guard).",medium - a regression here could silently allow destructive git ops (script fails OPEN on its own errors per docstring) or over-block legitimate work,high,keep in place,(unchanged),"Runs on every Bash call (matcher 'Bash', no 'if' filter) - broader trigger than precommit_guard.py which is scoped via 'if': Bash(git commit *)."
.claude/hooks/precommit_guard.py,Python (PreToolUse hook),Claude Code tooling - hooks,"Blocks 'git commit' when the staged set contains protected artifact paths (backend/database/, training/models|experiments/), model/binary blobs, or whitespace errors in staged source",developer tooling,used by developer tooling,"Wired in .claude/settings.json PreToolUse > Bash, scoped by ""if"": ""Bash(git commit *)""",".claude/settings.json (PreToolUse > Bash hooks list, with if-filter)",.claude/settings.json wires it; CLAUDE.md mentions it by name as one of the wired hooks ('plus any older ones like precommit_guard.py'),none (stdlib json/subprocess/sys only),none - no dedicated test file found,98,"Complementary to protect_paths.py: protect_paths blocks the Edit/Write itself, precommit_guard is a second gate at commit time for the same protected prefixes plus binary-suffix and whitespace checks. Deliberate defense-in-depth, not redundant duplication.","medium - override token [allow-artifacts] exists, so failure mode is bypassable by design; a logic bug could block legitimate commits of training/*.csv|jsonl|json which the docstring explicitly says must stay allowed",high,keep in place,(unchanged),Explicitly allows backend/training/*.csv|*.jsonl|*.json and backend/training/documents/** even though staged - matches CLAUDE.md 'Runtime-updated training files ... are normal to edit'.
.claude/hooks/protect_paths.py,Python (PreToolUse hook),Claude Code tooling - hooks,"Blocks Claude Edit/Write/MultiEdit/NotebookEdit writes to protected/generated paths: backend/database/, training/models|experiments|datasets/, bulk local-data dirs, frontend/dist/, node_modules, model binaries",developer tooling,used by developer tooling,"Wired in .claude/settings.json PreToolUse, matcher 'Edit|Write|MultiEdit|NotebookEdit'",.claude/settings.json (PreToolUse hooks list),.claude/settings.json wires it; CLAUDE.md 'Repository safety' bullet describes this hook's exact behavior but does not name the file explicitly (only names git_destructive_guard.py and secret_file_guard.py by name),none (stdlib json/os/sys/pathlib only),none - no dedicated test file found,106,None functionally; complements precommit_guard.py (commit-time check) by blocking the write itself before it happens.,medium - protected-prefix list must stay in sync with .gitignore's local-data dirs and CLAUDE.md's stated invariants; drift would either over-block legitimate training-file edits or under-protect frozen artifacts,high,keep but document,(unchanged),"MINOR DOC GAP: CLAUDE.md's 'Repository safety' section paraphrases this hook's behavior ('A PreToolUse hook blocks writes to backend/database/ ...') without naming protect_paths.py explicitly, unlike the other two named hooks - worth a one-line CLAUDE.md update, not a code change."
.claude/hooks/secret_file_guard.py,Python (PreToolUse hook),Claude Code tooling - hooks,"Blocks Read/Edit/Write on credential-pattern files (.env*, keys/certs, credentials.*, secrets.*) unless ALLOW_SECRET_FILE_ACCESS=1 is set; .env.example/.sample/.template are explicitly exempted",developer tooling,used by developer tooling,"Wired in .claude/settings.json PreToolUse, matcher 'Read|Edit|Write|MultiEdit|NotebookEdit' (broadest matcher of the four hooks - includes Read)",.claude/settings.json (PreToolUse hooks list),.claude/settings.json wires it; CLAUDE.md names it explicitly in 'Repository safety',none (stdlib json/os/re/sys/pathlib only),none - no dedicated test file found,64,None.,medium - governs whether Claude can read secret-shaped files at all; a bug could either leak a real .env into a transcript or block legitimate template access,high,keep in place,(unchanged),"Correctly exempts .env.example (verified: .env.example contains only variable names/placeholder defaults, no real secret values - see report)."
.claude/rules/backend.md,"Markdown (project rule, YAML frontmatter path-glob)",Claude Code tooling - auto-loaded rules,"Backend API + prediction rules: routers-must-not-own-logic, single inference owner (orchestrator.py), v2 contract field preservation, shadow-module isolation",configuration,used by developer tooling,"Auto-loaded by Claude Code when editing paths matching its frontmatter globs (backend/app.py, backend/config.py, backend/routers/**, prediction/**, multimodal/**, label_reconstruction/**)",Claude Code rule-loading mechanism (frontmatter 'paths' key),Restates and specializes CLAUDE.md's 'Architecture invariants' for backend/prediction paths,"backend/services/prediction/**, backend/routers/**","test_prediction_orchestrator, test_canonical_contract, test_documents_api, test_label_ranker_hook (named in file)",36,Consistent with CLAUDE.md and .claude/rules/ml.md on the shadow-module (label_reconstruction/ml_association) and single-inference-owner invariants - no contradiction found.,"low - documentation/config only, does not execute",high,keep in place,(unchanged),Internally consistent; not superseded by a later rule file.
.claude/rules/extraction.md,"Markdown (project rule, YAML frontmatter path-glob)",Claude Code tooling - auto-loaded rules,"Extraction/engineering/annotation rules: staged pipeline invariant, geometry-adapter-only access, consolidated parsing, Excel-is-ground-truth-only",configuration,used by developer tooling,"Auto-loaded for paths matching backend/services/engineering/**, annotation/**, takeoff/**, pdf_parser.py, structural_parser.py, etc.",Claude Code rule-loading mechanism,Specializes CLAUDE.md's staged-workflow and Excel-ground-truth invariants,"backend/services/engineering/**, backend/services/annotation/**","test_engineering_pipeline, test_structural_*, test_plate_grammar, test_anonymous_dimension_*, test_feet_inch_filter, test_extraction_noise_filter, test_pdf_rotation_coordinates (named in file)",39,Consistent with CLAUDE.md and backend.md; no contradiction.,low - documentation/config only,high,keep in place,(unchanged),Internally consistent; not superseded by a later rule file.
.claude/rules/frontend.md,"Markdown (project rule, YAML frontmatter path-glob)",Claude Code tooling - auto-loaded rules,"Frontend rules: all HTTP calls via src/api/client.js, predictionContract.js as sole read boundary, shared PredictionExplainability renderer, no TypeScript/ESLint",configuration,used by developer tooling,"Auto-loaded for paths matching frontend/src/**/*.{js,jsx}, frontend/*.js",Claude Code rule-loading mechanism,Specializes CLAUDE.md's 'frontend consumes API contracts only' invariant,"frontend/src/api/client.js, frontend/src/lib/predictionContract.js, frontend/src/components/PredictionExplainability.jsx","npm run test (Vitest, *.test.jsx)",26,Consistent with CLAUDE.md and root README ('Never put an absolute API host in a React component'). No contradiction.,low - documentation/config only,high,keep in place,(unchanged),Internally consistent; not superseded by a later rule file.
.claude/rules/ml.md,"Markdown (project rule, YAML frontmatter path-glob)",Claude Code tooling - auto-loaded rules,"ML/training/evaluation rules: frozen-artifact protection, train/serve feature parity, leakage-safe augmentation ordering, group-aware splits, promotion gating, domain accuracy rules (exact-match lock, baseline-before-complexity)",configuration,used by developer tooling,"Auto-loaded for paths matching backend/services/training_pipeline/**, ml_association/**, label_reconstruction/**, multimodal/**, prediction/ranking.py, training/**, scripts/**",Claude Code rule-loading mechanism; directly referenced by CLAUDE.md ('See .claude/rules/ml.md'),CLAUDE.md 'ML work' section points here,"backend/scripts/audit_candidate_recall_v16.py, phase2_build_group_folds.py, analyze_frozen_test_rows.py, diagnose_val_test_gap.py","test_ranker_feature_consistency, test_feature_schema_order, test_feature_pipeline, test_groupcv_and_candidate_gen, test_evaluate_pipeline_holdout, test_continuous_learning_pipeline (named in file)",63,"Consistent with CLAUDE.md and ml-audit skill/ml-auditor agent (same priority ordering: leakage, split correctness, candidate-recall ceiling, train/serve parity, baseline comparability). No contradiction.","low - documentation/config only, but is the authoritative source CLAUDE.md and the ml-auditor agent both point to - an error here would propagate to every ML change",high,keep in place,(unchanged),Internally consistent; not superseded by a later rule file. This is the most load-bearing rule file given it's directly cited by CLAUDE.md.
